"Overnight stays in Hotels 1997-2016"

"Citizenship","2014 Capital region July","2014 Capital region August","2014 Capital region September","2014 West, Westfjords and Southwest until 2007 July","2014 West, Westfjords and Southwest until 2007 August","2014 West, Westfjords and Southwest until 2007 September","2014 Southwest July","2014 Southwest August","2014 Southwest September","2014 West, Westfjords from 2007 July","2014 West, Westfjords from 2007 August","2014 West, Westfjords from 2007 September","2014 North July","2014 North August","2014 North September","2014 East July","2014 East August","2014 East September","2014 South July","2014 South August","2014 South September","2015 Capital region July","2015 Capital region August","2015 Capital region September","2015 West, Westfjords and Southwest until 2007 July","2015 West, Westfjords and Southwest until 2007 August","2015 West, Westfjords and Southwest until 2007 September","2015 Southwest July","2015 Southwest August","2015 Southwest September","2015 West, Westfjords from 2007 July","2015 West, Westfjords from 2007 August","2015 West, Westfjords from 2007 September","2015 North July","2015 North August","2015 North September","2015 East July","2015 East August","2015 East September","2015 South July","2015 South August","2015 South September","2016 Capital region July","2016 Capital region August","2016 Capital region September","2016 West, Westfjords and Southwest until 2007 July","2016 West, Westfjords and Southwest until 2007 August","2016 West, Westfjords and Southwest until 2007 September","2016 Southwest July","2016 Southwest August","2016 Southwest September","2016 West, Westfjords from 2007 July","2016 West, Westfjords from 2007 August","2016 West, Westfjords from 2007 September","2016 North July","2016 North August","2016 North September","2016 East July","2016 East August","2016 East September","2016 South July","2016 South August","2016 South September"
"Slovenia",27,117,12,.,.,.,6,5,1,0,8,0,11,20,67,0,4,0,15,68,12,493,502,47,.,.,.,2,1,8,0,0,0,48,5,18,16,43,4,78,33,15,180,107,272,.,.,.,6,0,5,8,3,14,80,115,12,84,39,4,36,24,25
"Slovakia",276,346,231,.,.,.,0,8,2,8,4,0,2,0,8,2,4,0,2,15,0,26,145,504,.,.,.,2,2,0,2,0,0,23,40,326,26,9,8,6,11,25,488,423,399,.,.,.,25,22,82,0,51,8,80,127,18,7,11,6,34,40,184
"Russia",2292,2169,1139,.,.,.,139,189,163,251,97,6,321,340,119,194,121,62,738,981,131,1041,945,457,.,.,.,108,67,71,69,45,19,361,189,65,191,202,33,489,361,148,1083,1305,466,.,.,.,65,79,44,60,52,43,363,286,165,127,256,68,248,217,244
"Poland",618,472,489,.,.,.,41,54,38,27,32,17,217,49,33,77,38,1,225,130,32,476,383,485,.,.,.,86,20,25,48,21,29,114,146,575,164,122,32,296,223,118,486,622,708,.,.,.,112,131,66,106,115,10,258,212,548,259,183,105,101,140,73
"Malta",34,23,43,.,.,.,0,0,2,0,40,0,0,18,0,2,0,0,3,17,10,59,9,37,.,.,.,0,0,0,0,0,2,0,0,10,0,0,2,4,0,0,21,32,39,.,.,.,2,0,2,10,7,0,29,22,15,4,12,5,6,12,26
"Luxembourg",131,104,82,.,.,.,10,24,0,3,33,0,49,15,2,6,7,2,22,64,6,42,120,93,.,.,.,33,14,0,4,8,2,18,152,36,4,25,1,28,56,12,104,177,83,.,.,.,12,11,20,19,9,5,29,15,16,22,18,2,51,58,27
"Lithuania",105,78,101,.,.,.,7,11,2,58,2,0,54,5,0,20,6,0,19,12,3,39,37,156,.,.,.,5,3,1,23,2,14,24,30,8,4,16,4,19,19,1,211,96,57,.,.,.,6,10,5,36,10,2,63,39,26,28,48,48,17,28,12
"Romania",66,268,91,.,.,.,20,8,3,7,14,0,6,15,4,4,10,3,10,95,6,61,218,102,.,.,.,18,0,4,2,49,16,10,10,24,0,4,16,19,27,8,111,285,36,.,.,.,38,27,11,8,56,2,22,39,5,4,31,8,17,50,5
"Other European Countries",98,82,28,.,.,.,1,1,0,11,0,2,33,0,0,2,0,0,32,0,6,137,97,119,.,.,.,2,4,5,18,0,3,0,6,4,0,4,0,8,37,8,65,163,109,.,.,.,18,0,2,0,4,0,13,10,7,0,18,4,6,13,9
"United States of America",28061,30090,25985,.,.,.,2222,2159,1752,2499,2378,1864,5056,4660,3105,2308,2193,1236,6650,7359,5503,36830,44084,33306,.,.,.,3062,2467,3227,3163,2668,3284,5754,5583,5021,2932,2925,2540,10034,10248,9373,63752,60054,58281,.,.,.,4822,4336,7303,5862,6582,6602,9599,10761,9808,5059,5303,4640,12278,14823,14147
"Canada",3813,3326,3016,.,.,.,238,320,233,452,303,355,604,385,596,379,310,518,1196,1230,886,3393,4302,3814,.,.,.,287,362,355,447,406,404,375,456,660,414,437,472,1830,1789,1324,7070,7037,6490,.,.,.,448,469,892,664,610,972,788,1069,985,545,1023,1052,1120,1742,1580
"Brazil",185,182,158,.,.,.,18,29,11,4,16,3,11,27,13,23,19,16,79,41,35,388,323,382,.,.,.,27,12,21,9,11,22,33,31,54,26,29,28,205,152,99,237,106,300,.,.,.,4,4,8,9,4,13,36,29,99,25,15,37,183,17,73
"Other South and Central American countries",311,298,348,.,.,.,19,10,16,11,12,7,40,47,5,21,32,4,87,29,21,513,437,396,.,.,.,23,26,17,10,13,6,79,30,62,73,22,36,46,113,175,701,508,407,.,.,.,32,38,55,60,31,20,59,147,62,42,45,52,150,120,103
"Japan",1342,2853,4083,.,.,.,91,159,471,52,25,328,131,105,814,31,230,634,534,931,2088,1365,1489,4959,.,.,.,63,142,600,34,41,143,93,88,466,73,122,817,275,677,2983,1079,3136,6296,.,.,.,149,315,858,28,37,72,207,137,813,179,424,1475,588,345,3089
"People's Republic of China",3933,4858,1767,.,.,.,170,265,152,105,142,82,576,536,228,269,307,99,913,1094,740,7324,9958,4009,.,.,.,291,322,347,366,404,274,677,727,769,546,762,669,2836,2610,1882,8890,10692,5247,.,.,.,2563,2354,1854,526,580,526,1459,1321,1205,1011,1278,1491,2585,2762,2841
"Republic of South Kora",205,243,209,.,.,.,28,33,15,4,0,0,18,22,11,31,13,11,33,74,112,582,361,143,.,.,.,95,110,43,3,29,18,94,49,79,80,55,51,96,147,56,668,615,224,.,.,.,81,65,168,21,35,10,131,190,158,90,89,82,186,100,228
"India",323,436,228,.,.,.,3,6,12,9,3,4,28,9,44,29,10,54,154,59,36,606,401,357,.,.,.,38,25,4,0,24,95,74,116,44,61,152,15,36,561,86,667,561,945,.,.,.,30,15,21,38,61,64,132,93,469,162,88,291,103,57,167
"Israel",1043,1697,267,.,.,.,239,257,143,449,366,26,1023,1276,222,806,713,70,1699,1853,245,1410,1424,511,.,.,.,272,173,62,343,317,99,1450,1403,397,966,947,386,2395,2097,578,1811,1108,486,.,.,.,266,397,52,762,546,89,1768,1801,750,691,730,559,2271,2196,832
"Other Asian countries",4075,1311,1005,.,.,.,59,64,67,23,26,90,283,148,140,125,196,84,761,644,479,7323,3534,2428,.,.,.,159,114,350,124,183,94,424,372,345,353,288,279,1891,1095,952,7953,3492,2069,.,.,.,461,286,709,225,74,214,758,571,929,518,373,957,1298,623,1338
"South Africa",72,59,44,.,.,.,0,0,0,0,6,6,5,69,44,4,29,9,22,35,12,30,94,84,.,.,.,4,4,5,2,0,14,6,99,16,18,12,2,18,27,42,36,107,83,.,.,.,16,0,21,14,8,0,15,18,42,16,21,11,15,0,130
"Other African countries",163,229,130,.,.,.,15,2,34,6,5,10,47,17,0,2,2,2,115,101,28,263,146,254,.,.,.,10,0,4,4,56,20,8,10,2,251,279,109,108,121,65,147,160,225,.,.,.,16,12,8,61,15,2,7,17,9,0,2,2,58,35,129
"Australia",1214,1164,988,.,.,.,113,95,88,110,99,71,294,203,127,227,212,132,314,242,324,1881,1041,1639,.,.,.,115,69,144,169,105,164,282,260,277,333,243,220,583,341,436,1906,2080,1617,.,.,.,181,161,150,395,197,158,500,419,463,455,318,358,543,390,833
"New Zealand",49,86,95,.,.,.,5,0,4,18,2,10,9,1,17,13,9,6,5,22,8,306,42,101,.,.,.,2,14,0,15,17,6,12,22,12,16,19,6,10,29,30,138,65,49,.,.,.,6,1,15,9,4,10,23,6,32,17,22,19,24,16,90
"Other Oceania and other territories",24,70,28,.,.,.,0,0,1,0,0,0,8,1,6,0,0,0,0,18,3,10,26,57,.,.,.,4,0,3,0,0,0,4,0,4,0,2,0,6,8,0,18,18,102,.,.,.,2,16,2,2,0,0,2,0,2,0,0,2,5,9,8
"Unknown",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
